00050cbb-049e-444f-a17a-04c882da4693-1	Chad went to get the wheel alignment measured on his car.	The mechanic provided a working alignment with new body work.	Chad was waiting for his car to be washed.	Chad was waiting for his car to be finished.	2
00050cbb-049e-444f-a17a-04c882da4693-1	Chad went to get the wheel alignment measured on his car.	The mechanic provided a working alignment with new body work.	Chad's car had all sorts of other problems besides alignment.	Chad's car had all sorts of benefits other than being sexy.	1
00050cbb-049e-444f-a17a-04c882da4693-1	Chad went to get the wheel alignment measured on his car.	The mechanic provided a working alignment with new body work.	Chad's mechanic said he had major alignment problems.	Chad's mechanic said he found no problems with his car.	1
00050cbb-049e-444f-a17a-04c882da4693-1	Chad went to get the wheel alignment measured on his car.	The mechanic provided a working alignment with new body work.	He ran into a pole on the way to the mechanic.	The mechanic ran into a pole on the way to him.	1
00050cbb-049e-444f-a17a-04c882da4693-1	Chad went to get the wheel alignment measured on his car.	The mechanic provided a working alignment with new body work.	the mechanic told him that he could fix his wheel.	the mechanic told him that he could not fix his wheel.	1
000731f7-c71d-49c8-b8cd-b6848933db99-1	Chad loves Barry Bonds.	Chad ensured that he took a picture to remember the event.	Chad went to meet Barry Bonds.	Chad failed to meet Barry Bonds.	1
000731f7-c71d-49c8-b8cd-b6848933db99-1	Chad loves Barry Bonds.	Chad ensured that he took a picture to remember the event.	Chad fought Barry Bonds.	Chad met Barry Bonds.	2
000731f7-c71d-49c8-b8cd-b6848933db99-1	Chad loves Barry Bonds.	Chad ensured that he took a picture to remember the event.	Chad got to meet Barry Bonds online, chatting.	Chad got to meet Barry Bonds.	2
000731f7-c71d-49c8-b8cd-b6848933db99-1	Chad loves Barry Bonds.	Chad ensured that he took a picture to remember the event.	Chad met Barry Bonds.	Chad ignored Barry Bonds.	1
000731f7-c71d-49c8-b8cd-b6848933db99-1	Chad loves Barry Bonds.	Chad ensured that he took a picture to remember the event.	Chad missed Barry Bonds.	Chad met Barry Bonds.	2
000731f7-c71d-49c8-b8cd-b6848933db99-1	Chad loves Barry Bonds.	Chad ensured that he took a picture to remember the event.	Chad missed meeting Barry Bonds.	Chad went to meet Barry Bonds.	2
000731f7-c71d-49c8-b8cd-b6848933db99-1	Chad loves Barry Bonds.	Chad ensured that he took a picture to remember the event.	Chad never got to meet Barry Bonds.	Chad got to meet Barry Bonds.	2
000731f7-c71d-49c8-b8cd-b6848933db99-1	Chad loves Barry Bonds.	Chad ensured that he took a picture to remember the event.	Chad never had the chance to meet Barry Bonds.	Chad got to meet Barry Bonds.	2
000731f7-c71d-49c8-b8cd-b6848933db99-1	Chad loves Barry Bonds.	Chad ensured that he took a picture to remember the event.	Chad saw Barry Bonds at Com-icon.	Chad attacked Barry Bonds at Com-icon.	1
000731f7-c71d-49c8-b8cd-b6848933db99-1	Chad loves Barry Bonds.	Chad ensured that he took a picture to remember the event.	Chad saw Barry Bonds at Com-icon.	Chad missed the flight to Com-icon.	1
000731f7-c71d-49c8-b8cd-b6848933db99-1	Chad loves Barry Bonds.	Chad ensured that he took a picture to remember the event.	Chad saw Barry Bonds on television.	Chad saw Barry Bonds at Com-icon.	2
000731f7-c71d-49c8-b8cd-b6848933db99-1	Chad loves Barry Bonds.	Chad ensured that he took a picture to remember the event.	Chad waited after a game and met Barry.	Chad waited after a game and met John.	1
000731f7-c71d-49c8-b8cd-b6848933db99-1	Chad loves Barry Bonds.	Chad ensured that he took a picture to remember the event.	Chad waited after a game and met Barry.	Chad waited after a game and met the mascot.	1
000731f7-c71d-49c8-b8cd-b6848933db99-1	Chad loves Barry Bonds.	Chad ensured that he took a picture to remember the event.	Chad waited after a game and met Barry.	Chad waited after a game but didn't meet Barry.	1
000731f7-c71d-49c8-b8cd-b6848933db99-1	Chad loves Barry Bonds.	Chad ensured that he took a picture to remember the event.	Chad went to meet Barry Bonds.	chad went to meet elon musk.	1
00093549-05ba-4ae1-8216-64ef59a972a9-1	Homer bought a gas grill for the summer.	They grilled steak for the first time on the grill.	He wanted a steak.	He did not like eating steaks.	1
00093549-05ba-4ae1-8216-64ef59a972a9-1	Homer bought a gas grill for the summer.	They grilled steak for the first time on the grill.	He was really craving a steak dinner.	Homer was really craving a spaghetti dinner.	1
00093549-05ba-4ae1-8216-64ef59a972a9-1	Homer bought a gas grill for the summer.	They grilled steak for the first time on the grill.	Homer invited his friends over to try it for the first time.	Homer invited his pets over to try it for the first time.	1
00093549-05ba-4ae1-8216-64ef59a972a9-1	Homer bought a gas grill for the summer.	They grilled steak for the first time on the grill.	Homer puts lots of lighter on the grill.	Homer put lots of vegetables on the grill.	1
00093549-05ba-4ae1-8216-64ef59a972a9-1	Homer bought a gas grill for the summer.	They grilled steak for the first time on the grill.	Homer went to the butcher and asked for the finest meat.	Homer went to the store and asked for the finest tofu.	1
000d05af-5db1-4d9d-b4e2-6c01b108b0b1-1	Brenna and I used to be best friends.	We never talked again.	Brenna and I fought over a boy.	Breanna and I went to the mall together.	1
000d05af-5db1-4d9d-b4e2-6c01b108b0b1-1	Brenna and I used to be best friends.	We never talked again.	Brenna and I fought over a boy.	Brenna and I compromised over a boy.	1
000d05af-5db1-4d9d-b4e2-6c01b108b0b1-1	Brenna and I used to be best friends.	We never talked again.	Brenna and I had a big falling out.	Brenna and I had a big party.	1
000d05af-5db1-4d9d-b4e2-6c01b108b0b1-1	Brenna and I used to be best friends.	We never talked again.	Brenna and I had a big party.	Brenna and I had a big falling out.	2
000d05af-5db1-4d9d-b4e2-6c01b108b0b1-1	Brenna and I used to be best friends.	We never talked again.	Brenna and I had a big falling out.	Brenna and I were best friends forever.	1
000d05af-5db1-4d9d-b4e2-6c01b108b0b1-1	Brenna and I used to be best friends.	We never talked again.	Brenna and I had a huge disagreement.	Brenna and I had a great conversation.	1
000d05af-5db1-4d9d-b4e2-6c01b108b0b1-1	Brenna and I used to be best friends.	We never talked again.	Brenna and I had an argement.	Brenna and I agreed on everything.	1
000d05af-5db1-4d9d-b4e2-6c01b108b0b1-1	Brenna and I used to be best friends.	We never talked again.	Brenna and I got married.	Brenna and I had an argement.	2
000d05af-5db1-4d9d-b4e2-6c01b108b0b1-1	Brenna and I used to be best friends.	We never talked again.	Brenna and I went on a hike.	Brenna and I had an argement.	2
000d05af-5db1-4d9d-b4e2-6c01b108b0b1-1	Brenna and I used to be best friends.	We never talked again.	Brenna and I loved our agreements.	Brenna and I had a huge disagreement.	2
000d05af-5db1-4d9d-b4e2-6c01b108b0b1-1	Brenna and I used to be best friends.	We never talked again.	Brenna and I never fought over a boy.	Brenna and I fought over a boy.	2
000d05af-5db1-4d9d-b4e2-6c01b108b0b1-1	Brenna and I used to be best friends.	We never talked again.	Brenna and I never fought.	Brenna and I had a huge disagreement.	2
000d05af-5db1-4d9d-b4e2-6c01b108b0b1-1	Brenna and I used to be best friends.	We never talked again.	Brenna stole my boyfriend.	Brenna introduced me to my boyfriend.	1
000d05af-5db1-4d9d-b4e2-6c01b108b0b1-1	Brenna and I used to be best friends.	We never talked again.	Brenna stole my boyfriend.	Brenna introduced me to my boyfriend.	1
000d05af-5db1-4d9d-b4e2-6c01b108b0b1-1	Brenna and I used to be best friends.	We never talked again.	Brenna loved each other.	Brenna stole my boyfriend.	2
